"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2017","12","12001","Alachua County (FL)","253,418","53,816","48,927","58,705","48,927 to 58,705","21.2","19.3","23.1","19.3 to 23.1","47,287","9,466","7,533","11,399","7,533 to 11,399","20.0","15.9","24.1","15.9 to 24.1","33,105","6,282","4,809","7,755","4,809 to 7,755","19.0","14.5","23.5","14.5 to 23.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,230","$42,790","$47,670","$42,790 to $47,670"
"2016","12","12001","Alachua County (FL)","250,852","55,990","51,294","60,686","51,294 to 60,686","22.3","20.4","24.2","20.4 to 24.2","47,164","10,289","8,512","12,066","8,512 to 12,066","21.8","18.0","25.6","18.0 to 25.6","32,691","7,359","6,043","8,675","6,043 to 8,675","22.5","18.5","26.5","18.5 to 26.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,294","$42,580","$48,008","$42,580 to $48,008"
"2015","12","12001","Alachua County (FL)","247,818","52,258","47,522","56,994","47,522 to 56,994","21.1","19.2","23.0","19.2 to 23.0","46,179","9,980","8,231","11,729","8,231 to 11,729","21.6","17.8","25.4","17.8 to 25.4","31,667","6,770","5,413","8,127","5,413 to 8,127","21.4","17.1","25.7","17.1 to 25.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,023","$44,688","$49,358","$44,688 to $49,358"
"2014","12","12001","Alachua County (FL)","244,270","52,756","47,913","57,599","47,913 to 57,599","21.6","19.6","23.6","19.6 to 23.6","45,620","10,077","8,171","11,983","8,171 to 11,983","22.1","17.9","26.3","17.9 to 26.3","31,328","6,438","5,033","7,843","5,033 to 7,843","20.6","16.1","25.1","16.1 to 25.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$44,325","$41,434","$47,216","$41,434 to $47,216"
"2013","12","12001","Alachua County (FL)","241,057","62,056","58,127","65,985","58,127 to 65,985","25.7","24.1","27.3","24.1 to 27.3","44,943","11,543","10,005","13,081","10,005 to 13,081","25.7","22.3","29.1","22.3 to 29.1","30,743","7,622","6,296","8,948","6,296 to 8,948","24.8","20.5","29.1","20.5 to 29.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,614","$37,259","$41,969","$37,259 to $41,969"
"2012","12","12001","Alachua County (FL)","239,423","63,656","59,720","67,592","59,720 to 67,592","26.6","25.0","28.2","25.0 to 28.2","43,957","11,819","10,227","13,411","10,227 to 13,411","26.9","23.3","30.5","23.3 to 30.5","30,157","7,847","6,713","8,981","6,713 to 8,981","26.0","22.2","29.8","22.2 to 29.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,297","$38,986","$43,608","$38,986 to $43,608"
"2011","12","12001","Alachua County (FL)","236,769","55,679","50,658","60,700","50,658 to 60,700","23.5","21.4","25.6","21.4 to 25.6","42,842","9,351","7,337","11,365","7,337 to 11,365","21.8","17.1","26.5","17.1 to 26.5","29,568","6,289","4,781","7,797","4,781 to 7,797","21.3","16.2","26.4","16.2 to 26.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,825","$37,698","$41,952","$37,698 to $41,952"
"2010","12","12001","Alachua County (FL)","234,884","59,315","55,001","63,629","55,001 to 63,629","25.3","23.5","27.1","23.5 to 27.1","43,613","11,463","9,842","13,084","9,842 to 13,084","26.3","22.6","30.0","22.6 to 30.0","30,453","7,699","6,546","8,852","6,546 to 8,852","25.3","21.5","29.1","21.5 to 29.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,656","$38,367","$42,945","$38,367 to $42,945"
"2009","12","12001","Alachua County (FL)","231,286","53,221","48,551","57,891","48,551 to 57,891","23.0","21.0","25.0","21.0 to 25.0","43,639","8,585","6,909","10,262","6,909 to 10,262","19.7","15.8","23.5","15.8 to 23.5","29,803","5,517","4,306","6,728","4,306 to 6,728","18.5","14.4","22.6","14.4 to 22.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,597","$36,143","$41,051","$36,143 to $41,051"
"2008","12","12001","Alachua County (FL)","229,310","45,946","41,512","50,379","41,512 to 50,379","20.0","18.1","22.0","18.1 to 22.0","44,457","8,450","7,027","9,873","7,027 to 9,873","19.0","15.8","22.2","15.8 to 22.2","30,666","5,132","4,117","6,147","4,117 to 6,147","16.7","13.4","20.0","13.4 to 20.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,980","$40,420","$45,541","$40,420 to $45,541"
"2007","12","12001","Alachua County (FL)","227,979","51,984","47,240","56,728","47,240 to 56,728","22.8","20.7","24.9","20.7 to 24.9","44,358","8,445","6,889","10,001","6,889 to 10,001","19.0","15.5","22.5","15.5 to 22.5","30,810","5,510","4,418","6,602","4,418 to 6,602","17.9","14.3","21.4","14.3 to 21.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,075","$36,036","$40,113","$36,036 to $40,113"
"2006","12","12001","Alachua County (FL)","214,987","46,761","42,648","50,874","42,648 to 50,874","21.8","19.8","23.7","19.8 to 23.7","42,679","7,937","6,668","9,207","6,668 to 9,207","18.6","15.6","21.6","15.6 to 21.6","29,679","4,971","4,067","5,875","4,067 to 5,875","16.7","13.7","19.8","13.7 to 19.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,046","$35,236","$38,856","$35,236 to $38,856"
"2005","12","12001","Alachua County (FL)","209,656","45,649","41,018","50,280","41,018 to 50,280","21.8","19.6","24.0","19.6 to 24.0","42,540","9,719","8,077","11,362","8,077 to 11,362","22.8","19.0","26.7","19.0 to 26.7","29,897","5,851","4,671","7,031","4,671 to 7,031","19.6","15.6","23.5","15.6 to 23.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,474","$33,377","$37,572","$33,377 to $37,572"
"2004","12","12001","Alachua County (FL)","212,154","30,836","23,762","37,909","23,762 to 37,909","14.5","11.2","17.9","11.2 to 17.9","43,290","7,296","5,428","9,165","5,428 to 9,165","16.9","12.5","21.2","12.5 to 21.2","29,955","4,688","3,313","6,063","3,313 to 6,063","15.7","11.1","20.2","11.1 to 20.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,696","$32,617","$36,907","$32,617 to $36,907"
"2003","12","12001","Alachua County (FL)","210,957","34,166","26,400","41,933","26,400 to 41,933","16.2","12.5","19.9","12.5 to 19.9","44,048","8,713","6,584","10,843","6,584 to 10,843","19.8","14.9","24.6","14.9 to 24.6","30,920","5,762","4,175","7,349","4,175 to 7,349","18.6","13.5","23.8","13.5 to 23.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,176","$31,179","$35,301","$31,179 to $35,301"
"2002","12","12001","Alachua County (FL)","212,345","32,170","24,682","39,657","24,682 to 39,657","15.1","11.6","18.7","11.6 to 18.7","43,971","7,740","5,862","9,618","5,862 to 9,618","17.6","13.3","21.9","13.3 to 21.9","31,012","5,059","3,678","6,440","3,678 to 6,440","16.3","11.9","20.8","11.9 to 20.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,153","$30,038","$34,417","$30,038 to $34,417"
"2001","12","12001","Alachua County (FL)","210,100","31,706","24,522","38,890","24,522 to 38,890","15.1","11.7","18.5","11.7 to 18.5","43,864","8,031","6,156","9,906","6,156 to 9,906","18.3","14.0","22.6","14.0 to 22.6","31,084","5,105","3,742","6,468","3,742 to 6,468","16.4","12.0","20.8","12.0 to 20.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,061","$29,950","$34,320","$29,950 to $34,320"
"2000","12","12001","Alachua County (FL)","208,642","30,721","23,931","37,511","23,931 to 37,511","14.7","11.5","18.0","11.5 to 18.0","44,192","7,699","6,023","9,374","6,023 to 9,374","17.4","13.6","21.2","13.6 to 21.2","31,072","4,830","3,636","6,024","3,636 to 6,024","15.5","11.7","19.4","11.7 to 19.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,724","$30,414","$35,210","$30,414 to $35,210"
"1999","12","12001","Alachua County (FL)","207,507","31,993","24,409","39,578","24,409 to 39,578","15.4","11.8","19.1","11.8 to 19.1","43,698","8,570","6,593","10,548","6,593 to 10,548","19.6","15.1","24.1","15.1 to 24.1","31,194","6,051","4,497","7,605","4,497 to 7,605","19.4","14.4","24.4","14.4 to 24.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$31,889","$29,873","$34,042","$29,873 to $34,042"
"1998","12","12001","Alachua County (FL)","189,198","32,273","25,473","39,072","25,473 to 39,072","17.1","13.5","20.7","13.5 to 20.7","47,160","10,990","8,549","13,431","8,549 to 13,431","23.3","18.1","28.5","18.1 to 28.5","33,463","7,739","5,845","9,633","5,845 to 9,633","23.1","17.5","28.8","17.5 to 28.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,585","$30,650","$36,504","$30,650 to $36,504"
"1997","12","12001","Alachua County (FL)","NA","34,670","27,281","42,059","27,281 to 42,059","18.3","14.4","22.2","14.4 to 22.2","NA","10,864","8,477","13,250","8,477 to 13,250","23.0","17.9","28.0","17.9 to 28.0","NA","7,552","5,788","9,316","5,788 to 9,316","22.3","17.1","27.5","17.1 to 27.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$31,382","$28,423","$34,325","$28,423 to $34,325"
"1996","12","12001","Alachua County (FL)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1995","12","12001","Alachua County (FL)","NA","36,242","29,006","43,478","29,006 to 43,478","19.2","15.4","23.0","15.4 to 23.0","NA","11,930","9,585","14,275","9,585 to 14,275","24.9","20.0","29.8","20.0 to 29.8","NA","7,554","6,036","9,072","6,036 to 9,072","22.4","17.9","26.9","17.9 to 26.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$27,860","$24,978","$30,727","$24,978 to $30,727"
"1993","12","12001","Alachua County (FL)","NA","37,326","29,972","44,679","29,972 to 44,679","20.2","16.2","24.1","16.2 to 24.1","NA","12,080","9,681","14,478","9,681 to 14,478","26.0","20.9","31.2","20.9 to 31.2","NA","7,392","5,821","8,962","5,821 to 8,962","23.1","18.2","28.0","18.2 to 28.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$26,597","$24,445","$28,737","$24,445 to $28,737"
"1989","12","12001","Alachua County (FL)","NA","31,212","25,124","37,299","25,124 to 37,299","18.0","14.5","21.5","14.5 to 21.5","NA","8,822","7,051","10,593","7,051 to 10,593","22.2","17.7","26.6","17.7 to 26.6","NA","5,352","4,189","6,515","4,189 to 6,515","19.6","15.3","23.8","15.3 to 23.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$23,673","$21,541","$25,795","$21,541 to $25,795"
"2017","12","12003","Baker County (FL)","25,470","3,900","2,991","4,809","2,991 to 4,809","15.3","11.7","18.9","11.7 to 18.9","6,712","1,520","1,134","1,906","1,134 to 1,906","22.6","16.8","28.4","16.8 to 28.4","4,905","1,082","793","1,371","793 to 1,371","22.1","16.2","28.0","16.2 to 28.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,856","$46,202","$57,510","$46,202 to $57,510"
"2016","12","12003","Baker County (FL)","25,210","4,329","3,444","5,214","3,444 to 5,214","17.2","13.7","20.7","13.7 to 20.7","6,776","1,620","1,254","1,986","1,254 to 1,986","23.9","18.5","29.3","18.5 to 29.3","5,002","1,124","852","1,396","852 to 1,396","22.5","17.1","27.9","17.1 to 27.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,904","$46,981","$56,827","$46,981 to $56,827"
"2015","12","12003","Baker County (FL)","24,903","4,189","3,213","5,165","3,213 to 5,165","16.8","12.9","20.7","12.9 to 20.7","6,646","1,608","1,254","1,962","1,254 to 1,962","24.2","18.9","29.5","18.9 to 29.5","4,895","1,129","855","1,403","855 to 1,403","23.1","17.5","28.7","17.5 to 28.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,883","$46,446","$55,320","$46,446 to $55,320"
"2014","12","12003","Baker County (FL)","24,642","4,826","3,940","5,712","3,940 to 5,712","19.6","16.0","23.2","16.0 to 23.2","6,592","1,692","1,337","2,047","1,337 to 2,047","25.7","20.3","31.1","20.3 to 31.1","4,881","1,146","887","1,405","887 to 1,405","23.5","18.2","28.8","18.2 to 28.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,121","$42,324","$51,918","$42,324 to $51,918"
"2013","12","12003","Baker County (FL)","24,539","4,621","3,683","5,559","3,683 to 5,559","18.8","15.0","22.6","15.0 to 22.6","6,640","1,699","1,322","2,076","1,322 to 2,076","25.6","19.9","31.3","19.9 to 31.3","4,902","1,175","877","1,473","877 to 1,473","24.0","17.9","30.1","17.9 to 30.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,505","$42,029","$50,981","$42,029 to $50,981"
"2012","12","12003","Baker County (FL)","24,650","4,627","3,728","5,526","3,728 to 5,526","18.8","15.2","22.4","15.2 to 22.4","6,775","1,768","1,394","2,142","1,394 to 2,142","26.1","20.6","31.6","20.6 to 31.6","4,967","1,203","932","1,474","932 to 1,474","24.2","18.7","29.7","18.7 to 29.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,721","$42,085","$49,357","$42,085 to $49,357"
"2011","12","12003","Baker County (FL)","24,715","4,602","3,666","5,538","3,666 to 5,538","18.6","14.8","22.4","14.8 to 22.4","6,853","1,657","1,269","2,045","1,269 to 2,045","24.2","18.5","29.9","18.5 to 29.9","4,971","1,143","862","1,424","862 to 1,424","23.0","17.3","28.7","17.3 to 28.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,564","$39,702","$45,426","$39,702 to $45,426"
"2010","12","12003","Baker County (FL)","24,664","4,318","3,399","5,237","3,399 to 5,237","17.5","13.8","21.2","13.8 to 21.2","6,904","1,672","1,307","2,037","1,307 to 2,037","24.2","18.9","29.5","18.9 to 29.5","4,967","1,104","850","1,358","850 to 1,358","22.2","17.1","27.3","17.1 to 27.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,802","$41,796","$49,808","$41,796 to $49,808"
"2009","12","12003","Baker County (FL)","23,880","4,098","3,186","5,010","3,186 to 5,010","17.2","13.3","21.0","13.3 to 21.0","6,657","1,537","1,199","1,875","1,199 to 1,875","23.1","18.0","28.2","18.0 to 28.2","4,641","1,032","798","1,266","798 to 1,266","22.2","17.2","27.3","17.2 to 27.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,513","$41,828","$51,198","$41,828 to $51,198"
"2008","12","12003","Baker County (FL)","23,711","3,628","2,883","4,372","2,883 to 4,372","15.3","12.2","18.4","12.2 to 18.4","6,334","1,296","1,011","1,580","1,011 to 1,580","20.5","16.0","24.9","16.0 to 24.9","4,379","847","647","1,047","647 to 1,047","19.3","14.8","23.9","14.8 to 23.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,443","$44,038","$52,848","$44,038 to $52,848"
"2007","12","12003","Baker County (FL)","23,303","3,350","2,623","4,077","2,623 to 4,077","14.4","11.3","17.5","11.3 to 17.5","6,243","1,235","932","1,537","932 to 1,537","19.8","14.9","24.6","14.9 to 24.6","4,319","822","614","1,030","614 to 1,030","19.0","14.2","23.8","14.2 to 23.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,783","$41,505","$50,060","$41,505 to $50,060"
"2006","12","12003","Baker County (FL)","22,870","3,367","2,648","4,086","2,648 to 4,086","14.7","11.6","17.9","11.6 to 17.9","6,253","1,177","930","1,424","930 to 1,424","18.8","14.9","22.8","14.9 to 22.8","4,348","800","615","985","615 to 985","18.4","14.1","22.7","14.1 to 22.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$44,860","$40,751","$48,969","$40,751 to $48,969"
"2005","12","12003","Baker County (FL)","22,130","3,204","2,564","3,843","2,564 to 3,843","14.5","11.6","17.4","11.6 to 17.4","6,200","1,217","943","1,491","943 to 1,491","19.6","15.2","24.1","15.2 to 24.1","4,380","804","610","998","610 to 998","18.4","13.9","22.8","13.9 to 22.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$43,011","$39,393","$46,630","$39,393 to $46,630"
"2004","12","12003","Baker County (FL)","22,271","2,839","2,164","3,514","2,164 to 3,514","12.7","9.7","15.8","9.7 to 15.8","6,320","1,058","767","1,349","767 to 1,349","16.7","12.1","21.3","12.1 to 21.3","4,388","728","498","958","498 to 958","16.6","11.3","21.8","11.3 to 21.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,589","$39,028","$44,319","$39,028 to $44,319"
"2003","12","12003","Baker County (FL)","21,694","2,981","2,280","3,682","2,280 to 3,682","13.7","10.5","17.0","10.5 to 17.0","6,286","1,188","874","1,502","874 to 1,502","18.9","13.9","23.9","13.9 to 23.9","4,372","848","593","1,103","593 to 1,103","19.4","13.6","25.2","13.6 to 25.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,281","$36,864","$41,857","$36,864 to $41,857"
"2002","12","12003","Baker County (FL)","21,177","2,824","2,161","3,487","2,161 to 3,487","13.3","10.2","16.5","10.2 to 16.5","6,174","968","709","1,227","709 to 1,227","15.7","11.5","19.9","11.5 to 19.9","4,344","679","474","884","474 to 884","15.6","10.9","20.4","10.9 to 20.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,438","$35,862","$41,199","$35,862 to $41,199"
"2001","12","12003","Baker County (FL)","20,963","2,873","2,227","3,518","2,227 to 3,518","13.7","10.6","16.8","10.6 to 16.8","6,186","1,112","828","1,396","828 to 1,396","18.0","13.4","22.6","13.4 to 22.6","4,377","761","538","984","538 to 984","17.4","12.3","22.5","12.3 to 22.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,049","$35,516","$40,763","$35,516 to $40,763"
"2000","12","12003","Baker County (FL)","20,438","2,782","2,167","3,397","2,167 to 3,397","13.6","10.6","16.6","10.6 to 16.6","6,175","1,104","829","1,380","829 to 1,380","17.9","13.4","22.3","13.4 to 22.3","4,382","772","553","991","553 to 991","17.6","12.6","22.6","12.6 to 22.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,070","$36,239","$42,121","$36,239 to $42,121"
"1999","12","12003","Baker County (FL)","20,216","2,835","2,180","3,490","2,180 to 3,490","14.0","10.8","17.3","10.8 to 17.3","6,080","1,220","895","1,546","895 to 1,546","20.1","14.7","25.4","14.7 to 25.4","4,329","968","675","1,261","675 to 1,261","22.4","15.6","29.1","15.6 to 29.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,321","$33,996","$38,805","$33,996 to $38,805"
"1998","12","12003","Baker County (FL)","19,433","3,081","2,415","3,747","2,415 to 3,747","15.9","12.4","19.3","12.4 to 19.3","6,850","1,381","1,050","1,711","1,050 to 1,711","20.2","15.3","25.0","15.3 to 25.0","5,121","1,066","788","1,344","788 to 1,344","20.8","15.4","26.2","15.4 to 26.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,966","$30,934","$36,981","$30,934 to $36,981"
"1997","12","12003","Baker County (FL)","NA","3,255","2,549","3,962","2,549 to 3,962","16.9","13.2","20.5","13.2 to 20.5","NA","1,410","1,078","1,743","1,078 to 1,743","20.7","15.8","25.6","15.8 to 25.6","NA","1,042","780","1,304","780 to 1,304","20.3","15.2","25.4","15.2 to 25.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,377","$29,300","$35,437","$29,300 to $35,437"
